,Richness,Shannon,Simpson,Pielou,Chao1,ACE,goods_coverage,PD_whole_tree
a1,804,7.23271758464871,0.981905402526506,0.74942273817261,912.655172413793,903.981441226078,0.996205142307164,38.58375
a2,788,6.70404773448613,0.96931629486421,0.696737853867108,885.041666666667,887.94399735317,0.996240395170143,37.13736
a3,803,6.94158896923088,0.978482683894009,0.719391095181484,905.031914893617,894.82018367189,0.996185510428101,37.32925
a4,832,7.24013611279155,0.980829577023129,0.746371950464426,965.363636363636,966.701531692478,0.995520993624972,38.32493
a5,833,7.17120788961972,0.980800839238126,0.739134225103676,992,959.288161846872,0.995635944447494,39.06312
a6,859,7.37406349839703,0.984598258224122,0.756584688169389,979.987012987013,947.416140104846,0.996240085627247,39.24234
a7,823,7.44910748492717,0.986429516318965,0.769158578800869,909.603773584906,920.854164804193,0.996264146797055,38.50172
a8,813,6.62483296881775,0.965905677595098,0.685296010083664,945.5,938.662910354443,0.995608738610166,39.25137
a9,745,6.18032627782864,0.955361931857827,0.647758483850363,954.011764705882,910.963327490177,0.994811683320523,36.69476
a10,788,6.54944579881181,0.967872487693275,0.680670393560802,937.845360824742,930.804505021026,0.995304390806491,37.4764
a11,776,6.42307386751002,0.962559107684818,0.669076269034821,963.80487804878,925.025786330871,0.995170407771253,37.11859
a12,702,5.90016007554269,0.950402448030604,0.624003795751518,816.393939393939,815.190818318119,0.995855747063344,34.1015
a13,762,6.53665659664309,0.966997690107914,0.682776006743005,887.282828282828,893.907327414605,0.99566184344197,37.37153
a14,763,6.62970426111843,0.968229184646136,0.692358319486819,872.878787878788,875.478224579598,0.995938751989463,35.76426
a15,791,6.91086575215973,0.980107747886724,0.71782305158183,929.494623655914,915.439199701055,0.995582020745294,38.18996
a16,807,7.23642169289312,0.983543906842131,0.749389323207221,913.923076923077,907.357307145378,0.996158173485909,37.02233
a17,801,7.31701563018939,0.984478676038069,0.75858124994399,869.785714285714,867.41267882523,0.997036061254734,37.77537
a18,799,7.17812568630591,0.980003300677234,0.744460402713952,892,875.667960224949,0.996596772422878,36.52797
b1,780,7.25185014935589,0.982574007985458,0.754824692451486,892.835294117647,885.127031547276,0.996180269304754,36.92808
b2,778,6.88634781063998,0.974124204628791,0.717057032756711,888.241379310345,880.127323087047,0.996185301059334,37.0163
b3,782,7.17248923672273,0.98245495739187,0.7462772584597,903.129411764706,889.643125609654,0.996047973214041,36.41511
b4,835,7.47051030014777,0.985372416987574,0.769708763117362,924.571428571429,925.048082027495,0.996347658931759,38.9906
b5,797,7.30836462683608,0.984706454927867,0.758252136762955,894.923076923077,888.512779357928,0.996322924098568,37.0935
b6,783,7.02617111644739,0.978812084022243,0.730913058722004,886.511111111111,884.322459074315,0.996240188813876,36.48598
b7,790,7.34938282671106,0.984010106834924,0.763516011811062,917.88,891.22135171868,0.996183625281423,37.17086
b8,773,7.02200913681205,0.980047180079089,0.731891970169478,875.784090909091,868.485509926297,0.996295381575698,36.09492
b9,752,6.76489298359255,0.975130751902892,0.708025545484852,892.411764705882,877.182730413865,0.995746432491767,34.74291
b10,785,7.19219122727377,0.981079544516955,0.747897332412183,885.879120879121,883.262329130699,0.996266813066154,36.02987
b11,778,7.03076380805854,0.97879145073909,0.73209468543402,870.142857142857,870.682493972565,0.996432393863717,36.88027
b12,756,6.70323632052201,0.965813146672997,0.701010915969121,921.486486486486,880.218391126144,0.995691547749726,34.93174
b13,802,7.39461700067758,0.984879674713137,0.766483427427925,926.213333333333,893.356877566934,0.996240085627247,36.96272
b14,747,6.8190609477782,0.975246095884487,0.714414495286446,896.217391304348,854.616438075107,0.996048515449207,34.80254
b15,679,6.13573618961308,0.946228921103636,0.652233607395962,810.261904761905,807.948220205632,0.995911198924289,32.45773
b16,730,6.62656968892641,0.961515465241263,0.696671783859075,851.916666666667,817.562452682555,0.996350064491342,34.02059
b17,741,7.09880750141295,0.982808197968415,0.744630438760242,815.447058823529,814.009523606926,0.996899182262225,34.26515
b18,758,6.73850572921161,0.975349924872367,0.704418530600307,893.842696629213,881.636153602458,0.995718990120746,34.72
