"","MDS1","MDS2","MDS3","MDS4"
"c1",-0.318273762685888,-0.036575797348158,-0.0113737362580434,-0.0532086298979602
"c2",-0.357408598807262,-0.0604255650101037,-0.0363024323963911,-0.0961978400970255
"c3",-0.305130091504852,-0.0365147185677733,0.050102497130217,0.00340277554581661
"c4",-0.303787742113222,-0.0469648653452106,0.154485092844744,0.0471543301192061
"c5",-0.298248009146234,0.00231235738362049,0.0904742894686755,-0.0176842829629227
"c6",-0.252122908212262,0.0429569125229793,0.178947805831792,-0.0548006222851892
"c7",-0.346214585229283,0.0933576429812281,-0.00788205260742391,0.0423010987346162
"c8",-0.319121124899845,0.0415526761850697,0.0298839159727928,-0.0431542608781225
"c9",-0.214923561111714,0.0610194405088395,-0.0143216128147913,-0.0145539622436271
"c10",-0.37221927771131,-0.0959559146553213,-0.0485936107773151,0.0201367047038701
"c11",-0.326378779609089,-0.00607574920555,-0.0032224853779579,0.0911077530540513
"c12",-0.277060223601045,0.014650230054397,0.0177226092701952,-0.0163946877301348
"c13",-0.31179554176134,0.0708444643765246,-0.101958515009983,0.0622707412788591
"c14",-0.277235893938704,-0.000998375996474273,0.00648730265679079,0.00702044091666444
"c15",-0.283938291967694,0.0230026010359096,-0.054889573865948,0.083499113280541
"c16",-0.303668634554364,0.0373880324938937,-0.0537561695474311,-0.0637448478536732
"c17",-0.323634368306016,0.0205245524577495,0.0302423563258124,-0.0148502259028686
"c18",-0.290086625180164,-0.0737671570556836,0.00611249529717942,0.0131459022846179
"c19",-0.275914342365952,0.013735971763638,-0.0945099705790166,0.0320311347596861
"c20",-0.309929097166896,-0.00684176170832929,-0.138156489514609,-0.0123066708769783
"d1",0.25624569823546,-0.0630415141086419,-0.00687019803442167,0.0194574001840144
"d2",0.425985804996493,-0.0260729649654792,0.0389937363301531,0.0481777284488393
"d3",0.257106410534715,0.0135618109866903,0.042360090456667,0.0359611177784006
"d4",0.261357205009108,0.0136424186368582,0.0380007778763354,0.026460457541181
"d5",0.156482021011162,-0.000119753134385684,-0.00344743589264936,0.0144580954617544
"d6",0.221428988051829,0.00968347075108473,0.00394080327687136,0.0241631302028413
"d7",0.198678330636682,0.0182077208785031,0.0455257490649956,0.0205972956301581
"d8",0.315832526385318,0.078003112641665,7.97235409977386e-05,0.11453145046036
"d9",0.303536786566441,0.0149352756352938,0.0962213421849186,0.00642780689189521
"d10",0.257759903022629,-0.0424002536453865,-0.00419134366663044,-0.0756023889559321
"d11",0.227647393403975,-0.0802064914412171,-0.0020989281405536,-0.0979920704536327
"d12",0.343032830054675,-0.0778889369383867,-0.0409484069549372,-0.00284190509378744
"d13",0.333654382569572,0.0647414775018512,0.0109651235084025,0.0285575291053393
"d14",0.340931047653099,0.0505942475335525,0.0139641252998934,-0.0505656282867616
"d15",0.35332511958819,0.0382407611473764,-0.0848220445929716,0.0151220681504545
"d16",0.486282379061491,0.241304267593327,-0.0181694404543502,-0.000652897806936004
"d17",0.364280808038085,0.0405433221061047,0.0298273689779888,-0.0944304270094713
"d18",0.278603751215502,0.0693449931819291,-0.115860905559799,-0.100261997180914
"d19",0.230288310035804,-0.147229401605363,-0.00286300602252704,0.0124380546257962
"d20",0.454631763802908,-0.273068539626622,-0.0400988472476721,0.0408212163569738
